"","carat","cut","color","clarity","depth","table","price","x","y","z","volume","PA","CA","VA"
"1",0.23,"Ideal","E","SI2",61.5,55,326,3.95,3.98,2.43,38.20203,0,0,0
"2",0.21,"Premium","E","SI1",59.8,61,326,3.89,3.84,2.31,34.505856,0,0,0
"3",0.23,"Good","E","VS1",56.9,65,327,4.05,4.07,2.31,38.076885,0,0,0
"4",0.29,"Premium","I","VS2",62.4,58,334,4.2,4.23,2.63,46.72458,0,0,0
"5",0.31,"Good","J","SI2",63.3,58,335,4.34,4.35,2.75,51.91725,0,0,0
"6",0.24,"Very Good","J","VVS2",62.8,57,336,3.94,3.96,2.48,38.693952,0,0,0
"7",0.24,"Very Good","I","VVS1",62.3,57,336,3.95,3.98,2.47,38.83087,0,0,0
"8",0.26,"Very Good","H","SI1",61.9,55,337,4.07,4.11,2.53,42.321081,0,0,0
"9",0.22,"Fair","E","VS2",65.1,61,337,3.87,3.78,2.49,36.425214,0,0,0
"10",0.23,"Very Good","H","VS1",59.4,61,338,4,4.05,2.39,38.718,0,0,0
"11",0.3,"Good","J","SI1",64,55,339,4.25,4.28,2.73,49.6587,0,0,0
"12",0.23,"Ideal","J","VS1",62.8,56,340,3.93,3.9,2.46,37.70442,0,0,0
"13",0.22,"Premium","F","SI1",60.4,61,342,3.88,3.84,2.33,34.715136,0,0,0
"14",0.31,"Ideal","J","SI2",62.2,54,344,4.35,4.37,2.71,51.515745,0,0,0
"15",0.2,"Premium","E","SI2",60.2,62,345,3.79,3.75,2.27,32.262375,0,0,0
"16",0.32,"Premium","E","I1",60.9,58,345,4.38,4.42,2.68,51.883728,0,0,0
"17",0.3,"Ideal","I","SI2",62,54,348,4.31,4.34,2.68,50.130472,0,0,0
"18",0.3,"Good","J","SI1",63.4,54,351,4.23,4.29,2.7,48.99609,0,0,0
"19",0.3,"Good","J","SI1",63.8,56,351,4.23,4.26,2.71,48.833658,0,0,0
"20",0.3,"Very Good","J","SI1",62.7,59,351,4.21,4.27,2.66,47.818022,0,0,0
"21",0.3,"Good","I","SI2",63.3,56,351,4.26,4.3,2.71,49.64178,0,0,0
"22",0.23,"Very Good","E","VS2",63.8,55,352,3.85,3.92,2.48,37.42816,0,0,0
"23",0.23,"Very Good","H","VS1",61,57,353,3.94,3.96,2.41,37.601784,0,0,0
"24",0.31,"Very Good","J","SI1",59.4,62,353,4.39,4.43,2.62,50.952974,0,0,0
"25",0.31,"Very Good","J","SI1",58.1,62,353,4.44,4.47,2.59,51.403212,0,0,0
"26",0.23,"Very Good","G","VVS2",60.4,58,354,3.97,4.01,2.41,38.366477,0,0,0
"27",0.24,"Premium","I","VS1",62.5,57,355,3.97,3.94,2.47,38.635246,0,0,0
"28",0.3,"Very Good","J","VS2",62.2,57,357,4.28,4.3,2.67,49.13868,0,0,0
"29",0.23,"Very Good","D","VS2",60.5,61,357,3.96,3.97,2.4,37.73088,0,0,0
"30",0.23,"Very Good","F","VS1",60.9,57,357,3.96,3.99,2.42,38.236968,0,0,0
"31",0.23,"Very Good","F","VS1",60,57,402,4,4.03,2.41,38.8492,0,0,0
"32",0.23,"Very Good","F","VS1",59.8,57,402,4.04,4.06,2.42,39.693808,0,0,0
"33",0.23,"Very Good","E","VS1",60.7,59,402,3.97,4.01,2.42,38.525674,0,0,0
"34",0.23,"Very Good","E","VS1",59.5,58,402,4.01,4.06,2.4,39.07344,0,0,0
"35",0.23,"Very Good","D","VS1",61.9,58,402,3.92,3.96,2.44,37.876608,0,0,0
"36",0.23,"Good","F","VS1",58.2,59,402,4.06,4.08,2.37,39.258576,0,0,0
"37",0.23,"Good","E","VS1",64.1,59,402,3.83,3.85,2.46,36.27393,0,0,0
"38",0.31,"Good","H","SI1",64,54,402,4.29,4.31,2.75,50.847225,0,0,0
"39",0.26,"Very Good","D","VS2",60.8,59,403,4.13,4.16,2.52,43.295616,0,0,0
"40",0.33,"Ideal","I","SI2",61.8,55,403,4.49,4.51,2.78,56.294722,0,0,0
"41",0.33,"Ideal","I","SI2",61.2,56,403,4.49,4.5,2.75,55.56375,0,0,0
"42",0.33,"Ideal","J","SI1",61.1,56,403,4.49,4.55,2.76,56.38542,0,0,0
"43",0.26,"Good","D","VS2",65.2,56,403,3.99,4.02,2.61,41.863878,0,0,0
"44",0.26,"Good","D","VS1",58.4,63,403,4.19,4.24,2.46,43.703376,0,0,0
"45",0.32,"Good","H","SI2",63.1,56,403,4.34,4.37,2.75,52.15595,0,0,0
"46",0.29,"Premium","F","SI1",62.4,58,403,4.24,4.26,2.65,47.86536,0,0,0
"47",0.32,"Very Good","H","SI2",61.8,55,403,4.35,4.42,2.71,52.10517,0,0,0
"48",0.32,"Good","H","SI2",63.8,56,403,4.36,4.38,2.79,53.280072,0,0,0
"49",0.25,"Very Good","E","VS2",63.3,60,404,4,4.03,2.54,40.9448,0,0,0
"50",0.29,"Very Good","H","SI2",60.7,60,404,4.33,4.37,2.64,49.954344,0,0,0
"51",0.24,"Very Good","F","SI1",60.9,61,404,4.02,4.03,2.45,39.69147,0,0,0
"52",0.23,"Ideal","G","VS1",61.9,54,404,3.93,3.95,2.44,37.87734,0,0,0
"53",0.32,"Ideal","I","SI1",60.9,55,404,4.45,4.48,2.72,54.22592,0,0,0
"54",0.22,"Premium","E","VS2",61.6,58,404,3.93,3.89,2.41,36.843357,0,0,0
"55",0.22,"Premium","D","VS2",59.3,62,404,3.91,3.88,2.31,35.044548,0,0,0
"56",0.3,"Ideal","I","SI2",61,59,405,4.3,4.33,2.63,48.96797,0,0,0
"57",0.3,"Premium","J","SI2",59.3,61,405,4.43,4.38,2.61,50.642874,0,0,0
"58",0.3,"Very Good","I","SI1",62.6,57,405,4.25,4.28,2.67,48.5673,0,0,0
"59",0.3,"Very Good","I","SI1",63,57,405,4.28,4.32,2.71,50.106816,0,0,0
"60",0.3,"Good","I","SI1",63.2,55,405,4.25,4.29,2.7,49.22775,0,0,0
"61",0.35,"Ideal","I","VS1",60.9,57,552,4.54,4.59,2.78,57.931308,0,0,0
"62",0.3,"Premium","D","SI1",62.6,59,552,4.23,4.27,2.66,48.045186,0,0,0
"63",0.3,"Ideal","D","SI1",62.5,57,552,4.29,4.32,2.69,49.853232,0,0,0
"64",0.3,"Ideal","D","SI1",62.1,56,552,4.3,4.33,2.68,49.89892,0,0,0
"65",0.42,"Premium","I","SI2",61.5,59,552,4.78,4.84,2.96,68.480192,0,0,0
"66",0.28,"Ideal","G","VVS2",61.4,56,553,4.19,4.22,2.58,45.619044,0,0,0
"67",0.32,"Ideal","I","VVS1",62,55.3,553,4.39,4.42,2.73,52.972374,0,0,0
"68",0.31,"Very Good","G","SI1",63.3,57,553,4.33,4.3,2.73,50.82987,0,0,0
"69",0.31,"Premium","G","SI1",61.8,58,553,4.35,4.32,2.68,50.36256,0,0,0
"70",0.24,"Premium","E","VVS1",60.7,58,553,4.01,4.03,2.44,39.431132,0,0,0
"71",0.24,"Very Good","D","VVS1",61.5,60,553,3.97,4,2.45,38.906,0,0,0
"72",0.3,"Very Good","H","SI1",63.1,56,554,4.29,4.27,2.7,49.45941,0,0,0
"73",0.3,"Premium","H","SI1",62.9,59,554,4.28,4.24,2.68,48.634496,0,0,0
"74",0.3,"Premium","H","SI1",62.5,57,554,4.29,4.25,2.67,48.680775,0,0,0
"75",0.3,"Good","H","SI1",63.7,57,554,4.28,4.26,2.72,49.593216,0,0,0
"76",0.26,"Very Good","F","VVS2",59.2,60,554,4.19,4.22,2.49,44.027682,0,0,0
"77",0.26,"Very Good","E","VVS2",59.9,58,554,4.15,4.23,2.51,44.061795,0,0,0
"78",0.26,"Very Good","D","VVS2",62.4,54,554,4.08,4.13,2.56,43.137024,0,0,0
"79",0.26,"Very Good","D","VVS2",62.8,60,554,4.01,4.05,2.53,41.088465,0,0,0
"80",0.26,"Very Good","E","VVS1",62.6,59,554,4.06,4.09,2.55,42.34377,0,0,0
"81",0.26,"Very Good","E","VVS1",63.4,59,554,4,4.04,2.55,41.208,0,0,0
"82",0.26,"Very Good","D","VVS1",62.1,60,554,4.03,4.12,2.53,42.007108,0,0,0
"83",0.26,"Ideal","E","VVS2",62.9,58,554,4.02,4.06,2.54,41.455848,0,0,0
"84",0.38,"Ideal","I","SI2",61.6,56,554,4.65,4.67,2.87,62.323485,0,0,0
"85",0.26,"Good","E","VVS1",57.9,60,554,4.22,4.25,2.45,43.94075,0,0,0
"86",0.24,"Premium","G","VVS1",62.3,59,554,3.95,3.92,2.45,37.9358,0,0,0
"87",0.24,"Premium","H","VVS1",61.2,58,554,4.01,3.96,2.44,38.746224,0,0,0
"88",0.24,"Premium","H","VVS1",60.8,59,554,4.02,4,2.44,39.2352,0,0,0
"89",0.24,"Premium","H","VVS2",60.7,58,554,4.07,4.04,2.46,40.449288,0,0,0
"90",0.32,"Premium","I","SI1",62.9,58,554,4.35,4.33,2.73,51.420915,0,0,0
"91",0.7,"Ideal","E","SI1",62.5,57,2757,5.7,5.72,3.57,116.39628,0,0,0
"92",0.86,"Fair","E","SI2",55.1,69,2757,6.45,6.33,3.52,143.71632,0,0,0
"93",0.7,"Ideal","G","VS2",61.6,56,2757,5.7,5.67,3.5,113.1165,0,0,0
"94",0.71,"Very Good","E","VS2",62.4,57,2759,5.68,5.73,3.56,115.865184,0,0,0
"95",0.78,"Very Good","G","SI2",63.8,56,2759,5.81,5.85,3.72,126.43722,0,0,0
"96",0.7,"Good","E","VS2",57.5,58,2759,5.85,5.9,3.38,116.6607,0,0,0
"97",0.7,"Good","F","VS1",59.4,62,2759,5.71,5.76,3.4,111.82464,0,0,0
"98",0.96,"Fair","F","SI2",66.3,62,2759,6.27,5.95,4.07,151.837455,0,0,0
"99",0.73,"Very Good","E","SI1",61.6,59,2760,5.77,5.78,3.56,118.728136,0,0,0
"100",0.8,"Premium","H","SI1",61.5,58,2760,5.97,5.93,3.66,129.571686,0,0,0
"101",0.75,"Very Good","D","SI1",63.2,56,2760,5.8,5.75,3.65,121.7275,0,0,0
"102",0.75,"Premium","E","SI1",59.9,54,2760,6,5.96,3.58,128.0208,0,0,0
"103",0.74,"Ideal","G","SI1",61.6,55,2760,5.8,5.85,3.59,121.8087,0,0,0
"104",0.75,"Premium","G","VS2",61.7,58,2760,5.85,5.79,3.59,121.598685,0,0,0
"105",0.8,"Ideal","I","VS1",62.9,56,2760,5.94,5.87,3.72,129.708216,0,0,0
"106",0.75,"Ideal","G","SI1",62.2,55,2760,5.87,5.8,3.63,123.58698,0,0,0
"107",0.8,"Premium","G","SI1",63,59,2760,5.9,5.81,3.69,126.48951,0,0,0
"108",0.74,"Ideal","I","VVS2",62.3,55,2761,5.77,5.81,3.61,121.020557,0,0,0
"109",0.81,"Ideal","F","SI2",58.8,57,2761,6.14,6.11,3.6,135.05544,0,0,0
"110",0.59,"Ideal","E","VVS2",62,55,2761,5.38,5.43,3.35,97.86489,0,0,0
"111",0.8,"Ideal","F","SI2",61.4,57,2761,5.96,6,3.67,131.2392,0,0,0
"112",0.74,"Ideal","E","SI2",62.2,56,2761,5.8,5.84,3.62,122.61664,0,0,0
